Structure;Propriétaire;Raison sociale;Nom;Ligne de commentaire;Contact principal;Civilité;Adresse électronique 1;Adresse électronique 2;Portable;Téléphone 1;Téléphone 2;Téléphone 3;Ville;État;Pays;Ligne d'adresse 1;Ligne d'adresse 2;Ligne d'adresse 3;Code Postal;Langue préférée;3 - Vos intérêts culturels;Domaine d'activité;Professionnel du spectacle;Partenaire;Vidy;Direction;Envoi;Tag;Médiation;2 - Newsletters spécifiques;1 - Newsletter générale (1x/semaine);Accepter les messages életroniques de l'institution;Courrier;Email;Remarque
290137;IMPCTCT_GLPI25896;PHARMACIE DE CULLY;PHARMACIE DE CULLY;;;;calpini.vd@ovan.ch;;;;;;Cully;;Suisse;Rue de la Gare 8;;;1096;fr;;;;;;;;;;;;F;;T;
290139;IMPCTCT_GLPI25896;PHARMACIE DE VALENCY;PHARMACIE DE VALENCY;;;;pharmacie.valency@mail.com;;;;;;Lausanne;;Suisse;Rte de Prilly 3;;;1004;fr;;;;;;;;;;;;T;;T;
290141;IMPCTCT_GLPI25896;PHARMACIE TAVIL;PHARMACIE TAVIL;;;;tavil@benu.ch;;;;;;Morges;;Suisse;Grand-Rue 11;;;1110;fr;;;;;;;;;;;;T;;T;
290143;IMPCTCT_GLPI25896;PHARMACIE SCHOEN;PHARMACIE SCHOEN;;;;pharmaschoen@bluewin.ch;;;;;;Vevey;;Suisse;Av. Paul-Cérésole 11;;;1800;fr;;;;;;;;;;;;F;;T;
290145;IMPCTCT_GLPI25896;PHARMACIE DU LAC;PHARMACIE DU LAC;;;;pharmacie.college@amavita.ch;;;;;;Yverdon-Les-Bains;;Suisse;Rue du Lac 13;;;1400;fr;;;;;;;;;;;;T;;T;
290147;IMPCTCT_GLPI25896;PHARMACIE DES GRANGETTES;PHARMACIE DES GRANGETTES;;;;info@pharmacie-grangettes.ch;;;;;;Lausanne;;Suisse;Ch. des Eterpeys;;;1010;fr;;;;;;;;;;;;T;;T;
290149;IMPCTCT_GLPI25896;PHARMACIE DE PRELAZ;PHARMACIE DE PRELAZ;;;;prelaz.vd@pharmacieplus.ch;;;;;;Lausanne;;Suisse;Av. de Morges 60;;;1004;fr;;;;;;;;;;;;T;;T;
290151;IMPCTCT_GLPI25896;PHARMACIE SUN STORE;PHARMACIE SUN STORE;;;;info@sunstore.ch;;;;;;Rennaz;;Suisse;Centre commercial Riviera;;;1847;fr;;;;;;;;;;;;T;;T;
290153;IMPCTCT_GLPI25896;PHARMACIE DE SAUVABELIN;PHARMACIE DE SAUVABELIN;;;;pharmacie-de-sauvabelin@ovan.ch;;;;;;Lausanne;;Suisse;Rte Aloys-Fauquez 87;;;1018;fr;;;;;;;;;;;;T;;T;
290157;IMPCTCT_GLPI25896;PHARMACIE POPULAIRE DE GRANCY;PHARMACIE POPULAIRE DE GRANCY;;;;info@pharmonline.ch;;;;;;Lausanne;;Suisse;Bvd de Grancy 4;;;1006;fr;;;;;;;;;;;;T;;T;
290159;IMPCTCT_GLPI25896;PHARMACIE ST-JEAN;PHARMACIE ST-JEAN;;;;st-jean@benu.ch;;;;;;Nyon;;Suisse;Av. Perdtemps 15;;;1260;fr;;;;;;;;;;;;T;;T;
290163;IMPCTCT_GLPI25896;PHARMACIE CHATTON;PHARMACIE CHATTON;;;;tavil@benu.ch;;;;;;Morges;;Suisse;Grand-Rue 11;;;1110;fr;;;;;;;;;;;;T;;T;
290167;IMPCTCT_GLPI25896;PHARMACIE DE ST.-SULPICE;PHARMACIE DE ST.-SULPICE;;;;pharma.st-sulpice@bluewin.ch;;;;;;St-Sulpice Vd;;Suisse;Rue du Centre 68;;;1025;fr;;;;;;;;;;;;F;;T;
290175;IMPCTCT_GLPI25896;PHARMACIE DE ST.-PREX;PHARMACIE DE ST.-PREX;;;;pharmacie-st-prex@ovan.ch;;;;;;St-Prex;;Suisse;Rue de la Gare 1;;;1162;fr;;;;;;;;;;;;T;;T;
290177;IMPCTCT_GLPI25896;PHARMACIE CENTRALE;PHARMACIE CENTRALE;;;;info@pharmacentrale.ch;;;;;;Yverdon-Les-Bains;;Suisse;Rue du Lac 27;;;1400;fr;;;;;;;;;;;;T;;T;
290179;IMPCTCT_GLPI25896;PHARMACIE DE LAVAUX;PHARMACIE DE LAVAUX;;;;pharmacie.perraudettaz@amavita.ch;;;;;;Pully;;Suisse;Av. de Lavaux 6;;;1009;fr;;;;;;;;;;;;T;;T;
290181;IMPCTCT_GLPI25896;PHARMACIE DE L'ANCIEN COLLEGE;PHARMACIE DE L'ANCIEN COLLEGE;;;;;;;;;;Yvonand;;Suisse;Rue de l'Ancien Collège 1;;;1462;fr;;;;;;;;;;;;T;;T;
290183;IMPCTCT_GLPI25896;PHARMACIE ST.-ETIENNE;PHARMACIE ST.-ETIENNE;;;;saintetienne.vd@pharmacieplus.ch;;;;;;Prilly;;Suisse;Ch. du Centenaire 4;;;1008;fr;;;;;;;;;;;;T;;T;
290185;IMPCTCT_GLPI25896;PHARMACIE TOUR IVOIRE;PHARMACIE TOUR IVOIRE;;;;pharmacie.neukomm@ovan.ch;;;;;;Montreux;;Suisse;Rue Igor-Stravinsky;;;1820;fr;;;;;;;;;;;;T;;T;
290187;IMPCTCT_GLPI25896;PHARMACIE DE COPPET;PHARMACIE DE COPPET;;;;info@pharmaciedecoppet.ch;;;;;;Coppet;;Suisse;Grand-Rue 46;;;1296;fr;;;;;;;;;;;;T;;T;
290189;IMPCTCT_GLPI25896;CHUV - PHARMACIE;CHUV - PHARMACIE;;;;;;;;;;Lausanne;;Suisse;Rue du Bugnon 21;;;1011;fr;;;;;;;;;;;;T;;T;
290191;IMPCTCT_GLPI25896;PHARMACIE DE PRANGINS;PHARMACIE DE PRANGINS;;;;pharmaciedeprangins@ovan.ch;;;;;;Prangins;;Suisse;Rue des Alpes 6;;;1197;fr;;;;;;;;;;;;F;;T;
290193;IMPCTCT_GLPI25896;PHARMACIE PAYOT;PHARMACIE PAYOT;;;;pharmpayot@ovan.ch;;;;;;Grandson;;Suisse;Rue Haute 2;;;1422;fr;;;;;;;;;;;;T;;T;
290195;IMPCTCT_GLPI25896;PHARMACIE DE VILLENEUVE;PHARMACIE DE VILLENEUVE;;;;info@pharmaciedevilleneuve.ch;;;;;;Villeneuve Vd;;Suisse;Grand Rue 32;;;1844;fr;;;;;;;;;;;;F;;T;
290197;IMPCTCT_GLPI25896;PHARMACIE DE GLAND;PHARMACIE DE GLAND;;;;pharmacie.gland@sunstore.ch;;;;;;Gland;;Suisse;Rue du Borgeaud 3A;;;1196;fr;;;;;;;;;;;;T;;T;
290201;IMPCTCT_GLPI25896;PHARMACIE DE MONTELLY;PHARMACIE DE MONTELLY;;;;pharm.montelly@ovan.ch;;;;;;Lausanne;;Suisse;Ch. de Montelly 3;;;1007;fr;;;;;;;;;;;;T;;T;
290203;IMPCTCT_GLPI25896;PHARMACIE DE CORTOT;PHARMACIE DE CORTOT;;;;ama082@amavita.ch;;;;;;Nyon;;Suisse;Av. Alfred Cortot 7;;;1260;fr;;;;;;;;;;;;T;;T;
290207;IMPCTCT_GLPI25896;PHARMACIE  DE LA POSTE;PHARMACIE  DE LA POSTE;;;;poste.payerne@pharmacieplus.ch;;;;;;Payerne;;Suisse;Rue des Granges 24;;;1530;fr;;;;;;;;;;;;F;;T;
290209;IMPCTCT_GLPI25896;PHARMACIE DE GIMEL;PHARMACIE DE GIMEL;;;;info@pharmagimel.ch;;;;;;Gimel;;Suisse;Rue Billard 13;;;1188;fr;;;;;;;;;;;;F;;T;
290211;IMPCTCT_GLPI25896;PHARMACIE DU GROS-DE-VAUD;PHARMACIE DU GROS-DE-VAUD;;;;info@pharmabercher.ch;;;;;;Bercher;;Suisse;Rte du Village 3;;;1038;fr;;;;;;;;;;;;F;;T;
290213;IMPCTCT_GLPI25896;PHARMACIE DE CHAVORNAY;PHARMACIE DE CHAVORNAY;;;;pharmacie.chavornay@amavita.ch;;;;;;Chavornay;;Suisse;Rue de la Gare 1;;;1373;fr;;;;;;;;;;;;T;;T;
290215;IMPCTCT_GLPI25896;PHARMACIE DU JORAT;PHARMACIE DU JORAT;;;;info@pharmaciedujorat.ch;;;;;;Mézières Vd;;Suisse;Rte de Servion 6;CP 76;;1083;fr;;;;;;;;;;;;T;;T;
290217;IMPCTCT_GLPI25896;PHARMACIE ST-GERMAIN;PHARMACIE ST-GERMAIN;;;;contact@pharmacie-bussigny.ch;;;;;;Bussigny-Lausanne;;Suisse;Rue Saint-Germain 7;;;1030;fr;;;;;;;;;;;;F;;T;
290219;IMPCTCT_GLPI25896;PHARMACIE DE LA CLERGERE;PHARMACIE DE LA CLERGERE;;;;pharmacie-clergere@ovan.ch;;;;;;Pully;;Suisse;Ch. du Pré-de-la-Tour 10;;;1009;fr;;;;;;;;;;;;T;;T;
290221;IMPCTCT_GLPI25896;PHARMACIE DES BERGIERES;PHARMACIE DES BERGIERES;;;;pharmacie.bergieres@sunstore.ch;;;;;;Lausanne;;Suisse;Av. Bergières 42;;;1004;fr;;;;;;;;;;;;T;;T;
290223;IMPCTCT_GLPI25896;PHARMACIE ANCIEN-STAND;PHARMACIE ANCIEN-STAND;;;;ama076@amavita.ch;;;;;;Lausanne;;Suisse;Rte des Plaines-du-Loup 10;;;1018;fr;;;;;;;;;;;;T;;T;
290225;IMPCTCT_GLPI25896;PHARMACIE POPULAIRE;PHARMACIE POPULAIRE;;;;info@pharmonline.ch;;;;;;Lausanne;;Suisse;Rte d'Oron 4;;;1010;fr;;;;;;;;;;;;T;;T;
290227;IMPCTCT_GLPI25896;PHARMACIE PERRAUDETTAZ;PHARMACIE PERRAUDETTAZ;;;;pharmacie.perraudettaz@amavita.ch;;;;;;Pully;;Suisse;Av. de Lavaux 6;;;1009;fr;;;;;;;;;;;;T;;T;
290229;IMPCTCT_GLPI25896;PHARMACIE DE PIERREFLEUR;PHARMACIE DE PIERREFLEUR;;;;info@sunstore.ch;;;;;;Lausanne;;Suisse;;;;1004;fr;;;;;;;;;;;;T;;T;
290231;IMPCTCT_GLPI25896;PHARMACIE CROIX-BLANCHE;PHARMACIE CROIX-BLANCHE;;;;pharmacie.croix-blanche@amavita.ch;;;;;;Epalinges;;Suisse;Place Croix-Blanche 5;;;1066;fr;;;;;;;;;;;;T;;T;
290233;IMPCTCT_GLPI25896;PHARMACIE ROSE ROUGE;PHARMACIE ROSE ROUGE;;;;info@roserouge.ch;;;;;;Renens Vd;;Suisse;Av. du Temple 2;;;1020;fr;;;;;;;;;;;;T;;T;
290239;IMPCTCT_GLPI25896;PHARMACIE DE PAUDEX;PHARMACIE DE PAUDEX;;;;803098@ovan.ch;;;;;;Paudex;;Suisse;Ch. de la Charrettaz 10;;;1094;fr;;;;;;;;;;;;T;;T;
290241;IMPCTCT_GLPI25896;PHARMACIE DE SAVIGNY;PHARMACIE DE SAVIGNY;;;;pharmacie.savigny@amavita.ch;;;;;;Savigny;;Suisse;Place du Forum 1;;;1073;fr;;;;;;;;;;;;T;;T;
290243;IMPCTCT_GLPI25896;PHARMACIE CONOD SA;PHARMACIE CONOD SA;;;;pharmacie.conod@amavita.ch;;;;;;Lausanne;;Suisse;Rue Pichard 11;;;1003;fr;;;;;;;;;;;;T;;T;
290245;IMPCTCT_GLPI25896;PHARMACIE DU RHONE;PHARMACIE DU RHONE;;;;pharmarhone@pharmacieplus.ch;;;;;;Aigle;;Suisse;Rue du Rhône 21;;;1860;fr;;;;;;;;;;;;T;;T;
290247;IMPCTCT_GLPI25896;PHARMACIE DE MONTOLIVET;PHARMACIE DE MONTOLIVET;;;;pharmacie.montolivet@mail.com;;;;;;Lausanne;;Suisse;Av. de Montchoisi 28;;;1006;fr;;;;;;;;;;;;T;;T;
290251;IMPCTCT_GLPI25896;SERVICE SANTE PUBLIQUE;SERVICE SANTE PUBLIQUE;;;;info.santepublique@vd.ch;;;;;;Lausanne Adm Cant;;Suisse;Av. des Casernes 2;;;1014;fr;;;;;;;;;;;;T;;T;
290255;IMPCTCT_GLPI25896;PHARMACIE DU MARCHE;PHARMACIE DU MARCHE;;;;pharmaciemarche@ovan.ch;;;;;;Aubonne;;Suisse;Rue de l'Hôtel de Ville 19;;;1170;fr;;;;;;;;;;;;F;;T;
290257;IMPCTCT_GLPI25896;PHARMACIE DE MIES;PHARMACIE DE MIES;;;;pharmmies@ovan.ch;;;;;;Mies;;Suisse;Rte de Saint-Cergue 3;;;1295;fr;;;;;;;;;;;;T;;T;
290261;IMPCTCT_GLPI25896;PHARMACIE GROGNUZ;PHARMACIE GROGNUZ;;;;pharma.grognuz@bluewin.ch;;;;;;Echallens;;Suisse;Rue de l'Ancienne Poste 3;;;1040;fr;;;;;;;;;;;;F;;T;
290263;IMPCTCT_GLPI25896;PHARMACIE DU CROSET;PHARMACIE DU CROSET;;;;pharmacie.croset@amavita.ch;;;;;;Ecublens Vd;;Suisse;Ch. du Croset 1;;;1024;fr;;;;;;;;;;;;T;;T;
290265;IMPCTCT_GLPI25896;PHARMACIE HADID;PHARMACIE HADID;;;;info@pharmacie-hadid.ch;;;;;;Lausanne;;Suisse;Av. de Chailly 44;;;1012;fr;;;;;;;;;;;;T;;T;
290267;IMPCTCT_GLPI25896;PHARMACIE DE L'ARC;PHARMACIE DE L'ARC;;;;info@pharmacie-mousquines.ch;;;;;;Lausanne;;Suisse;;;;1004;fr;;;;;;;;;;;;T;;T;
290275;IMPCTCT_GLPI25896;PHARMACIE DE CUGY;PHARMACIE DE CUGY;;;;phcugy@vtxnet.ch;;;;;;Cugy Vd;;Suisse;Rte de Lausanne 3;;;1053;fr;;;;;;;;;;;;T;;T;
290277;IMPCTCT_GLPI25896;PHARMACIE CHAVANNES;PHARMACIE CHAVANNES;;;;chavannes@ppge.ch;;;;;;Chavannes-Renens;;Suisse;Rue de la Blancherie 14;;;1022;fr;;;;;;;;;;;;T;;T;
290279;IMPCTCT_GLPI25896;PHARMACIE NYONNAISE;PHARMACIE NYONNAISE;;;;pharmacienyonnaise@ovan.ch;;;;;;Nyon;;Suisse;Rue de la Gare 43;;;1260;fr;;;;;;;;;;;;T;;T;
290281;IMPCTCT_GLPI25896;PHARMACIE DE LA TOUR;PHARMACIE DE LA TOUR;;;;pharmaciedelatour@ovan.ch;;;;;;La Tour-De-Peilz;;Suisse;Grand-Rue 22;;;1814;fr;;;;;;;;;;;;T;;T;
290287;IMPCTCT_GLPI25896;PHARMACIE D'ECHANDENS;PHARMACIE D'ECHANDENS;;;;pharmaechandens@ovan.ch;;;;;;Echandens;;Suisse;Place du Saugey 6;;;1026;fr;;;;;;;;;;;;T;;T;
290289;IMPCTCT_GLPI25896;PHARMACIE KUPPER;PHARMACIE KUPPER;;;;phiekupper@bluewin.ch;;;;;;Lausanne;;Suisse;Rue du Maupas 22;;;1004;fr;;;;;;;;;;;;T;;T;
290291;IMPCTCT_GLPI25896;PHARMACIE DU BOURG;PHARMACIE DU BOURG;;;;romanel.vd@pharmacieplus.ch;;;;;;Romanel-S-Lausanne;;Suisse;Av. d'Echallens 5;;;1032;fr;;;;;;;;;;;;T;;T;
290295;IMPCTCT_GLPI25896;PHARMACIE DE PREVERENGES;PHARMACIE DE PREVERENGES;;;;pharmacie.preverenges@ovan.ch;;;;;;Préverenges;;Suisse;Rue de Lausanne 17;;;1028;fr;;;;;;;;;;;;T;;T;
290297;IMPCTCT_GLPI25896;PHARMACIE DU CENTRE;PHARMACIE DU CENTRE;;;;info@pharmaclarens.ch;;;;;;Clarens;;Suisse;Av. Alexandre Vinet;;;1815;fr;;;;;;;;;;;;F;;T;
290299;IMPCTCT_GLPI25896;PHARMACIE PLACE NEUVE;PHARMACIE PLACE NEUVE;;;;pharmacie.pully@sunstore.ch;;;;;;Pully;;Suisse;Place de la Gare 1;;;1009;fr;;;;;;;;;;;;T;;T;
290301;IMPCTCT_GLPI25896;PHARMACIE CERISAIE;PHARMACIE CERISAIE;;;;pharmaciecerisaie@bluemail.ch;;;;;;Chavannes-Renens;;Suisse;Rte de la Maladière 12;;;1022;fr;;;;;;;;;;;;T;;T;
290303;IMPCTCT_GLPI25896;PHARMACIE DU SAPIN;PHARMACIE DU SAPIN;;;;pharmacie.sapin.vallorbe@ovan.ch;;;;;;Vallorbe;;Suisse;Grand-Rue 37;;;1337;fr;;;;;;;;;;;;T;;T;
290305;IMPCTCT_GLPI25896;INSTITUT DE MEDECINE LEGALE;INSTITUT DE MEDECINE LEGALE;;;;curml.central@chuv.ch;;;;;;Lausanne;;Suisse;Rue Vulliette 4;;;1000;fr;;;;;;;;;;;;T;;T;
290311;IMPCTCT_GLPI25896;INSTITUT MEDICO-SOCIAL;INSTITUT MEDICO-SOCIAL;;;;iumsp@chuv.ch;;;;;;Lausanne;;Suisse;Rte de la Corniche 10;;;1010;fr;;;;;;;;;;;;T;;T;Double info
290313;IMPCTCT_GLPI25896;Policlinique médicale universitaire;Policlinique médicale universitaire;;;;contact@unisante.ch;;;;;;Lausanne;;Suisse;Rue du Bugnon 44;;;1011;fr;;;;;;;;;;;;T;;T;
290321;IMPCTCT_GLPI25896;HOPITAL DE LA VALLEE DE JOUX;HOPITAL DE LA VALLEE DE JOUX;;;;info@psvj.ch;;;;;;Le Sentier;;Suisse;Rue de l'Hôpital 3;;;1347;fr;;;;;;;;;;;;T;;T;Double info
290327;IMPCTCT_GLPI25896;CLINIQUE DE LONGERAIE;CLINIQUE DE LONGERAIE;;;;adm.longeraie@hin.ch;;;;;;Lausanne;;Suisse;Avenue d'Ouchy 37-39;;;1006;fr;;;;;;;;;;;;T;;T;Double info
290333;IMPCTCT_GLPI25896;HOPITAL DE ZONE - EHNV;HOPITAL DE ZONE - EHNV;;;;;;;;;;Yverdon-Les-Bains;;Suisse;ENTREMONTS 11;;;1400;fr;;;;;;;;;;;;T;;T;Double info
290355;IMPCTCT_GLPI25896;COMEDIEN.CH;COMEDIEN.CH;;;;admin@comedien.ch;;;;;;Genève 8;;Suisse;Case Postale 221;;;1211;fr;;;;;;;;;;;;T;;T;
290367;IMPCTCT_GLPI25896;Office du Tourisme - Sion;Office du Tourisme - Sion;;;;info@siontourisme.ch;;;41273277727;;;Sion;;Suisse;Espace des Remparts 19;;;1950;fr;;;;;;;;;;;;F;F;T;
290369;IMPCTCT_GLPI25896;Office du Tourisme - Vevey, Montreux;Office du Tourisme - Vevey, Montreux;;;;;;;;;;Montreux;;Suisse;Rue du Théâtre 5;;;1820;fr;;;;;;;;envoinb10;;;;T;;T;
290371;IMPCTCT_GLPI25896;SERVICE CULTUREL MIGROS GENEVE;SERVICE CULTUREL MIGROS GENEVE;;;;scm@migrosgeneve.ch;;;41585682900;;;Grand-Lancy;;Suisse;Service culturel;Esplanade Pont-Rouge 2;;1212;fr;;;;Rech;;;;;;;;T;;T;
290409;IMPCTCT_GLPI25896;ETUDE CARRARD ET ASSOCIES;ETUDE CARRARD ET ASSOCIES;;;;info.lausanne@kellerhals-carrard.ch;;;;;;Lausanne;;Suisse;Place Saint-François 1;;;1003;fr;;;;;;;;;;;;T;;T;
290452;IMPCTCT_GLPI25896;ASS.  LOISIRS EXPRESSIONS;ASS.  LOISIRS EXPRESSIONS;;;;culture@prangins.ch;;;;;;Prangins Vaud;;Suisse;;;;1197;fr;;;;;;;;;;;;T;;T;
290454;IMPCTCT_GLPI25896;HES - LA SOURCE;HES - LA SOURCE;;;;info@ecolelasource.ch;;;41216413800;41216413800;41216413800;Lausanne;;Suisse;AVENUE VINET 30;;;1004;fr;;educ;;;;;;;;;;T;;T;
290458;IMPCTCT_GLPI25896;CCL - CENTRE DE CULTURE ET DE LOISIRS;CCL - CENTRE DE CULTURE ET DE LOISIRS;;;;information@ccl-sti.ch;;;;;;St-Imier;;Suisse;Rue d’la Zouc 6;;;2610;fr;;;;;;;;;;;;T;;T;
290464;IMPCTCT_GLPI25896;FERME DU CHATEAU;FERME DU CHATEAU;;;;;;;;;;St-Barthélemy Vd;;Suisse;Le Château 1;;;1040;fr;;;;;;;;;;;;T;;T;
